username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-14 01:28;0;0;"#ShutdownJNU #DemolishJNU https:// twitter.com/GitaSKapoor/st atus/841344975476531201 …";;;#ShutdownJNU #DemolishJNU;"841377880122765312";https://twitter.com/HelloMightyking/status/841377880122765312
;2017-03-13 21:04;0;1;"Seems like Media getting ready for another election. Political vultures will flew in & another intolerance drama. #ShutDownJNU https:// twitter.com/sardesairajdee p/status/841304171714359297 …";;;#ShutDownJNU;"841311399330627585";https://twitter.com/dbindu2015/status/841311399330627585
;2017-03-12 18:09;0;0;"#shutdownJNU";;;#shutdownJNU;"840905083470635008";https://twitter.com/rahulbh62964880/status/840905083470635008
;2017-03-12 01:57;0;1;"रतन टाटा ने कहा जो अपने देश के न हुए कंपनी के क्या खाक होंगे? इसीके साथ टाटा के दरवाजे JNU वाले के लिये बन्द हुए !!! #shutdownJNU #JNU";;;#shutdownJNU #JNU;"840660376328982528";https://twitter.com/rahul7747/status/840660376328982528
;2017-03-11 12:47;0;0;"so only heart less ppl voting bjp #shutdownjnu";;;#shutdownjnu;"840461761635581952";https://twitter.com/indianfire120/status/840461761635581952
;2017-03-08 06:54;0;0;"भूतप्रेत भगाने के लिए ''हनुमान चालीसा'' पढ़िए और वामपंथी,देशद्रोहियों को भगाने के लिए ''वन्देमातरम और भारत माता जी जय'' कहिये ! #ShutdownJNU";;;#ShutdownJNU;"839285568831913984";https://twitter.com/pradeepatri2005/status/839285568831913984
;2017-03-07 23:06;0;0;"#ShutdownJNU #StopBreedingCommunism http:// fb.me/18fYpnWmX";;;#ShutdownJNU #StopBreedingCommunism;"839167798073049088";https://twitter.com/kmpandey/status/839167798073049088
;2017-03-07 14:36;71;39;"#भगवंत_मान #गुरमेहर #ShutDownJnu #ISupportABVP pic.twitter.com/zwTp2WJJjT";;;#भगव #ग #ShutDownJnu #ISupportABVP;"839039541172396032";https://twitter.com/Ajtnegi/status/839039541172396032
;2017-03-07 14:24;0;0;"My sincere sympathy with those trended #ShutdownJNU few months back https:// twitter.com/HRDMinistry/st atus/838981067487002624 …";;;#ShutdownJNU;"839036477166260224";https://twitter.com/justlalit/status/839036477166260224
;2017-03-07 07:05;1;5;"जो #ShutDownJNU बोलते हैं,कहते हैं कि हम tax का पैसा बर्बाद करते हैं,असल में वो देश विरोधी हैं #WeAreJNU #SaveJNU http:// bit.ly/2lALPDW";;;#ShutDownJNU #WeAreJNU #SaveJNU;"838926109680992259";https://twitter.com/ShivamPathour/status/838926109680992259
;2017-03-06 21:29;0;1;"Jaisa Naam(Jawaharlal Nehru) waisa kaam (B grade) #ShutDownJNU https:// twitter.com/oneXalchemist/ status/838733318229151744 …";;;#ShutDownJNU;"838780989090353152";https://twitter.com/Usandesh/status/838780989090353152
;2017-03-06 15:47;0;0;"that's why we call media #Presstitutes #shutdownjnu";;;#Presstitutes #shutdownjnu;"838695005309054978";https://twitter.com/indianfire120/status/838695005309054978
;2017-03-06 11:33;0;1;"#shutdownjnu";;;#shutdownjnu;"838631003761610753";https://twitter.com/indianfire120/status/838631003761610753
;2017-03-06 11:28;0;0;"#shutdownjnu";;;#shutdownjnu;"838629929449304065";https://twitter.com/indianfire120/status/838629929449304065
;2017-03-06 10:18;0;1;"@ABVPVoice ... " @IndianExpress : Hats off to patriotism of Janhavi. #shutdownjnu #Shame Jnu. http:// bit.ly/1RuWyF4 pic.twitter.com/YWaOsfaImK "";;@ABVPVoice @IndianExpress;#shutdownjnu #Shame;"838612222511353857";https://twitter.com/amitspeech/status/838612222511353857
