Youtube Corpus 41	https://www.youtube.com/watch?v=kq2hqZyNGnY
Comment1	trump and justice lol
Comment2	Nice for knowledge baghdadi is death good news thanks for you president trump sir god bless you
Comment3	Abu Bakr al-Baghdadi ; well, the beard must have been throoty-four years old, to grow it and grow it, all night load.
Comment4	Trump is a 3-time draft dodger - he didn&#39;t do anything - in fact - there is no proof of the assassination - only a pair of soiled underwear they pretended was the DNA source.  The supposed body (parts) were dumped in the ocean at an undisclosed location ...sound familiar?    no proof, no evidence, just another Propaganda story to feed the masses, nothing more.      ~  no spin the wheel and let&#39;s see who the next boogie-man will be that the GOV dreams up to scare little children.
Comment5	B F, Italy, .
Comment6	&quot;He died like a Dog&quot;  &lt; Classic Trump
Comment7	Where does it leave ISIS? Well one thing&#39;s for sure. Its big daddy will still be running around with guns and tanks tomorrow demanding that you pay for liberation in the name of GOD. Gold, Oil and Drugs that is.
Comment8	Making American fool by wasting their money n empires fall by  these way history is witness
Comment9	Al-Baghdadi will be replaced by the a new Daesh leader whose name is Abu Yahood Al-Wahhabi Al-Najd..
Comment10	you are dog trump u will also dead like dog
Comment11	the 3 children will be his child brides
Comment12	Israel&#39;s president is the no. 1 terrorist on earth. 2nd comes to Modi. Not this guy !
Comment13	Number one terrorist is not dead... He is talking infront of us though
Comment 13.1	IU Princess..can you elaborate more on what you mean?
Comment14	Then you say the USA killed one of there assistants, and it did him like this to reach their goals in the middle east.
Comment15	Best story of 2019 : down with the rest of them!.
Comment16	Ananızı sikerler böyle ğığığı
Comment17	Can they hurry up &amp; post HD pics of his dead body. I want to see Pakistani&#39;s reaction, it&#39;s their man after all.
Comment 17.1	Handsome Squidward...pakistan is the garbage bin of the world....absolute shithole of islamic hell.
Comment18	This is not good , cos this is just gonna cause more and more issues , Like wtf
Comment19	Dünya artık daha güvenli bir yer
Comment20	A new ISIS leader will rise up, Barack Hussein Obama
Comment 20.1	@Yusuf Dunphy no Obama is a Muslim and hates America
Comment 20.2	Robert Bowers NO! Obama HATES ISIS!
