Youtube Corpus 127	https://www.youtube.com/watch?v=zaiDJqM4SsY
Comment1	Early this morning Anders Berhing Breivik delivers a new baby Boy all by himself. He has know reach THE Norweigan record in delivering Elite Norweigan citizans. His kingdom Will last Forever.
Comment2	Turkey is a brave army and ethical. i have studied them. its president  urdugan is a down to earth, a peaceful man.
Comment3	Turkey has yet to pay for the Armenian Genocide and illegally annexing Western Armenia.
Comment 3.1	​@Gois Zanner Per the Wilsonian Arbitral Award, Western Armenia is a sovereign state.  Following the main killing phase of the Genocide, millions of hidden/converted Armenians live in Turkish-occupied Western Armenia and millions spread worldwide will be returning their homeland upon liberation.  Turkey will pay.
Comment 3.2	John Carr what do you mean with illegally annaxing western Armenia.
Comment4	Sorry for my ignorance but why is this all happening
Comment 4.1	Because this life sucks. And ppl are so sick of this sick life and they are trying to end this world ASAP. 😕 According to what it seems to me. Nothing makes sense at all. The only thing that makes sense, its the end of this sick world.
Comment5	Erdogan&#39;s political future is dark..He needs money and victories for next elections..His support is below %40 now.. He is planning to build buildings on safe zone, because his supporters are mostly building companies.. Europe will give the money ..He will blackmail europe.. If Europe does not give the money he vill open the borders..This is his plan for healing Turkish economy.. If he can not achieve his plans, he will lost the elections and than go to prison.. He has not got any other option..I think this is good for immigrants and Europe but bad for Kurds.. There are 5 million arabs in Turkey and i do not want them..Kurt&#39;s does not want them in their areas too. What is our fault ?..Why they are in my country? Kurds will ask same question? <br /><br />But some of the building will be build for Kurds too..And there are some petrol on the safe zone. I think Turkey will build two federal areas..Same as Barzani Kurdistan supported by Turkey.. Turkey will make buildings, sell goods and buy petrol.. <br /><br /><br />Problem is not Kurdish/Kurdish problem..Problem is money problem..Not only for Turkey..For USA too..No country in the area is better then Esad..
Comment6	Democrats won&#39;t even allow Trump to secure America&#39;s borders but you want him to bomb another countries borders? Wtf is that? HYPOCRITES!!
Comment7	so sad
Comment8	Washington liquidated its Syrian bases located near key cities: Manbij, Ain al-Arab, Ain-Isa, Et-Tabk, Tel Abyad, Tel Tamr, Tel Beidar, Hasek and others. Initially, US President Donald Trump claimed that with the withdrawal of troops from Syria, American soldiers would be able to return home. However, despite the unwillingness to participate in “endless wars” in Near Washington, the American leader sends his fighters to Iraq, where the operation against the Islamic State group continues (ISIS, Islamic State Islamic State - a terrorist group, banned in the Russian Federation).
Comment9	"Watch this-&gt; (hudson institute) <a href=""https://twitter.com/mevlutcavusoglu/status/1185588456799592449?s=21"">https://twitter.com/mevlutcavusoglu/status/1185588456799592449?s=21</a>"
Comment10	Mike Pence Is Deep State.<br />A Snake In The Grass.
Comment 10.1	Wrong
Comment11	In other words. Don&#39;t fire on us and there won&#39;t be no problems. Meanwhile we can twist this as a good thing in the news.
Comment12	Tik tak tik tak
Comment13	Why is there a ceasefire? To protect American proxy YPG/PKK terrorists?
Comment14	Cease fire is a US trick to play for time. Turkey better be alert externally and internally.<br />Never trust USA which is an agreement BREAKER.
Comment15	These Kurdish-led forces are listed as a terrorist organization by several states and organizations, including the North Atlantic Treaty Organization (NATO), the United States, the United Kingdom, Japan, and the European Union.  So now the Democrats and the US media think Americans should die to protect them?
Comment16	USA trying to get their tool (puppets) YPG terrorists out of harms way.
Comment17	"NATOs King of Norway Anders Behring Breivik Always draws Royal stright flush every morning at <a href=""https://www.youtube.com/watch?v=zaiDJqM4SsY&amp;t=07m15s"">07:15</a>. Its gonna be a norweigan civil war over Norway"
Comment18	Turkey Islamic state militants control
Comment19	Erdogan afraid Americans delegate
Comment20	Trump is stupid is Going to come back and bite you in the ass. Now Trump Cut the Military budget 15 percent now
Comment21	Tayyab Erdogan real her0❤️
Comment22	Don&#39;t call it a deal, it gives turkes easily without loosing a single blood drop what turkes exactly wants by force. This is a compromise trump used to hide his fault of withdrawal of troops from the border and I&#39;m 100% sure it wouldn&#39;t gonna work kurds wouldn&#39;t going anywhere leaving his land to turks
Comment 22.1	Long live the sultan
Comment23	Mike Pence, he of the religious right, seen here, selling his soul to the devil to keep Trump happy, while insuring the death of thousands of Kurdish people, people who  fought side by side with Americans in the fight against terrorism...maybe he needs a little of that &#39;reconditioning&#39; he so appreciates and supports for gay people! Come on, Mike!! Don&#39;t be an anti American hypocrite!! (TOO LATE!)
Comment24	🖕the 💩mike pence.
Comment25	There&#39;s no 2m refugees if there&#39;s no war happened. The Q.Where wars begun and who&#39;s behind the groups?
Comment26	Middle east must realize their situation..ever since the war begun. Million civilians were killed and suffered until now because of much groups organized by other nations and arming them to let them fight.
Comment27	Lol millions of millions lives long live pimp TRUMP
Comment28	Turkey the famous pussy
Comment29	america and ypg surrendered :D
Comment30	We are feeding  4 million Syrians in Turkey long and long time . Enough is enough.   It&#39;s not invasion but a must to send them back safely . Idiot western media especially BBC is nothing but dog
Comment 30.1	Most Westerners think the same thing about the BBC, lol. No one trusts these propagandists anymore, except for old people.
Comment31	The World knows by now That Turkish regime is criminal regime and big Mafia,That regime in Ankara spreads terrorism around the world and Middle East,Trump is ignorant and does not know that much about Middle East and  also doesn listen to military advisors,He wants to give 13,000 square Kilometers of Syrian and Kurdish lands to a big terrorist regime to settle 30 islamic groups and their families,What kind of ceasefire is that ? That is shame on Trump for his weakness and wrong decision,
Comment 31.1	You and your knowledge of the situation sucks balls. Have you even lived in mid-east?
Comment32	"So sorry for American tax payers. their money which used to equipped terror groups like PKK and PYD will be burn into aches. US a created and armed terrorists PKK then now they&#39;re whining about Turkey which determined to destroy this threat!!<br /><br />Isn&#39;t it true that Kurds dreamed to build their own country by taking pieces of land from four countries they are living in? Are they hoping to become 2nd Israel with the support of America!!!"
Comment33	Turkish brutal regime is a big shame in Nato,EU needs its independent force that can stand against Russia and China and USA,Trump will sell you too,Trump is arrogant and selfish and very weak,He sold His Kurdish partners to a brutal Turkish regime,Trump bent down to Erdogan and sold USA army reputation,This so called ceasefire wont work,This is a big rubbery of Kurdish lands by Turkish ISIS regime,
Comment34	That means America is behind this attack, because that&#39;s why Turkey also listens
Comment35	Once oligarch Trump has been dealt with properly, whether the UN send him to a black site or a real American decides enough is enough, most Americans agree the Kurds should take turkey as their own country and send Turkish terrorist leader to the same black site!
Comment36	Europe and America brace yourselves for 3.6 million people.
Comment37	PRESIDENT ASSAD WON THE GAME ONES AGAIN !!
Comment38	IT S A GAME IN A GAME -)
Comment39	Mike Pence is a seasoned politician and worthy of being America&#39;s new president.
Comment 39.1	lol
Comment40	crazy usa
Comment41	Nobody can stop me Erdogan said the other day but now he is a shit scared looser. He is a bully to start with. People of Turkey should impeach this dude.
Comment 41.1	No thank you.... we like him 😊
Comment42	Erdogan is a terrorist
Comment43	fake touches screen icons, distracting
Comment44	DEAR BBC TEAM,<br />PEACEFUL  COUNTRY LOVES BRITAIN &amp; AMERICA FOR THEIR STAND ON TERRORISTS. <br />INDIAN FEEL PROUD OF BRITISHR. <br /><br />IF PAK WILL  NOT INCLUDED IN BLACK LIST, WHAT WILL BE IMPACT ??????????<br /><br /> <b>WHY PAKISTAN MUST INCLUDE IN BLACKLIST?</b><br /><br />1. IN 1947 Hindu population was 22% that is reduced now at 5%. This support brutal killing of Hindus in pakistan. <br /><br />2. There is no exception for Christine,  recent case of sentenced for eashninda.<br /><br />3. Afghanistan already registered COMPLAINTS  on world forum for terrorist infiltration in Afghan  from pakistan.<br /><br />4. There are several attacks by terrorists origin  of those terrorists is pakistan.<br /><br />5.AMERICA captured Laden from pakistan, Can pakistan deny his protection to LADEN?  <br /><br />6. America already BLACKLISTED HAFIJ SAYED, &amp; LIST of terrorist institutions in Pakistan, American investigation agencies that confirmed support of pakistan for funding, training by Pakistan Military to terrorist, PM Emaran accepted this before Hon.Trump &amp; before Mr. Putin in Russia. <br /><br />7. Bangladesh also supported, Pakistan as terrorist country, &amp; complained for terrorist  activities of Pakistan in Asian countries.<br /><br />8. China already jailed Muslims in shin-ziyang for their Islamism activities.<br /><br />9. Chaina expelled out Pakistan&#39;s students because of their, Islamic activities in china.<br /><br />10.  Bomb blast, in srilanka, investigations found terrorist link from pakistan.<br /><br />11. INDIA had raised several issues of terrorist infiltrations in INDIA, for civilian attack on Mumbai,  Hyderabad,  kerala with evidence.  INDIA submitted several countries dossier for terrorist attack on URI, PATHANCOT, PULWAMA ON IDIAN MILITARY. ALL THESE ACTIVITIES ARE OPENLY CONFIRMED BY MUSHRAF, NAWAJ SHERIF TOO.<br /><br />12. Recently INDIAN INVETIGATION AGENCIES EXPOSED PAKISTANI TERRORIST FUNDING FROM PAKISTAN, &amp; PROVOCATION BY TERRORIST OF PAKISTAN  IN INDIA. <br /><br />13.AMERIAN AGENCY also realised pakistan as terrorist exporting country for 9/11 attack on world trade building in US.<br /><br />14.EMARAN PM of pakistan admitted that 30 to 40 terrorist organisations of terrorists are still active in Pakistan. Before the President Trump.<br /><br />15. INDIA already launched  surgical strikes on Balakot &amp; POK to destroy terrorist training camps. India send the evidences surgical of that to several countries, where as PKISTAN denied the surgical strikes, &amp; otherhand MASOOD AZAR openly took responsibility with video, audio tapes  released by PAKISTAN BASED  terrorist Masood  Azar, like ISIS. <br /><br /><b>CONCLUSION:</b><br />IF PACIFIC ASIAN CONTRIES CAN LIST OUT PAKISTAN IN BLACKLIST, &amp; FATF DOESN&#39;T? THIS WILL SEND VERY BAD MESSAGE BEFORE THE WORLD.<br /><br />PEACEFULL COUNTRIES OF WOLD  WILL ASK TO FATF, IS THE DECISION OF FATF, IS THIS A JUSTICE  TO PEACE LOVING COUNTRIES?  <br /><br />THIS WILL BE MOTIVATION TO PEACE LOVING COUNTRIES  TO ADOPT TERRORIST  POLICES, &amp; FOLLOW  PAKISTAN, GIVE ATOMIC  DETOR TO OTHER CONTRIES.<br /><br />RECENT LIVE EXAMPLES OF KORIA, TURKI, PAKISTAN ARE BEFORE PEACE LOVING COUNTRY. AND WORLD WILL TENDS TO BECOME TERRORIST COUNTRIES LIKE PAKISTAN, TURKY, &amp; KORIYA. AND WORLD-WAR WILL BE SOON.<br /><br /><b>HENCE PRESSRE ON FATF IS REQUIRED TO LISTED IN BLACK LIST.</b> FOR LEARNING TO TURKY, KORIA.<br />AND PROTECT &amp; GROW BELIEVE OF PEACEFULL CONTRIES IN THE WORD, ON FATF.
Comment45	Trump could cure cancer and the BBC would complain
Comment46	Pence to Turkey, stop or we&#39;ll crush you!
Comment 46.1	Must not have been a very convincing argument. He was only able to get a 120 hour pause.
Comment 46.2	Actually it was the opposite Ankara gave Washington 120 hours if nothing comes from it Turkey will still continue and hit them harder
Comment47	Trump is a pig shit pig. Blond pig.
Comment48	Usa 👎👎 Turkey 👍👍👍👌👌😂
Comment 48.1	@Char Aznable usa and isreal dog saudi arabia? 😂😂
Comment 48.2	USA  👎👎  Turkey  👎👎 👎  Saudi Arabia 👍👍👍👌👌😂
Comment49	Ergoan obeyed usa order again lol
Comment50	Syria tragedy was forgotten in the world’s agenda. The legitimate-authority gap at the northern Syria threatening Turkish border and 3.6m refugees were not really the world’s number 1 pri-ority. Turkiye succeeded to bring the attention back to Syria tragedy with the wise steps. With the agreed 120-hrs pause of the operation and the others putting in motion the promised ac-tions, the path to the real solution through the legitimate stakeholders in the region is to be opened.
Comment51	Just imagine if it was Iran and not Turkey that illegally invaded Syria. The Zionist states of America would have declared war.
Comment 51.1	@Enes Uzar please. Tell me.
Comment 51.2	What is Turkish govt.&#39;s motive? Honestly, what do you think?
Comment52	So Trump has created a vacuum of world peace on the Turkey border? For about three days.
Comment53	Turks are the ones who have crossed borders, everything else is bullshit..Turks think that NATO will protect them while they&#39;re  constantly shitting on NATO. Seriously do the Turks really think that Greece another NATO member will come to their assistance while they&#39;re constantly shitting on Greece?.Something is seriously wrong with the Turkish mindset, they want everything and give  less than nothing..Crazy?
Comment 53.1	Yes you are crazy
Comment54	US can do anything in the world but when other countries began to do something they forced us to stop.
Comment 54.1	It&#39;s a power-dynamic situation. Just as when Rome or Imperial China ordered &#39;their&#39; Client Nations to stop fighting each other, the same is true of ours.
Comment55	USA is world bully,Now we know who is helping terrorists.and who created daesh
Comment56	The International Tribe are sending them to Germany. Turkey will funnel them through, it&#39;s disgusting what they are doing.
Comment57	Erdogan wins again.👊👏🇹🇷
Comment58	its not kurdish forcess is zionist pigs and zionist puppet USA mercinarys pulling out..
Comment59	Millions of lives? WTF?
Comment60	Love u turkey
Comment61	I love you 🤟 KURDSTAN ♥️ salute for all the brave Kurdish fighters
Comment62	BBC can hide behind all the fake news &amp; distraction stories you like.<br /><br /><br /><br /><br /><br /><br /><br />Shame on BBC for cowardly hiding behind the official secrets act to cover-ups UK establishment child grooming gangs, since Mr&#39;s Windsor took to the throne &lt;&lt;&lt; WESTMONSTER
Comment63	Turkey is squeamish about taking on the Russian bear. <br />Two cowards Trump and Erdogan are bearing witness to one another.
Comment64	why are you taking completely the sermon?  do you know what is goin on north of africa ? do you know whats goin on plastin ?do you know whats goin on egypty? do you whts goin on yemen and muslim rohynga and muslim iigor in the chines ?
Comment65	Like kid fight:)
Comment66	Its not &quot;Kurds&quot;. Its a marxist-leninist terror organization. There are 13 million Kurds living in Turkey and many others all over the World. While this is the case, they are not able to find any volunteer person that accepts to fight for them. They are kidnapping-forcing kids and women to force them to fight. Most of them in Syria came from Iraq after local people forced to migrate, hundreds of thousands local Kurds of Syria migrated to Turkey and rejected to live in the areas controlled by the terror organization. <br /><br />Stop following your state controlled media, they are washing your brain to justify their invasion in ME.
Comment 66.1	@Franz IV Turks listen to Turk news, the west listen to Jewish news
Comment 66.2	"&quot;Stop following your state controlled media, they are washing your brain to justify their invasion in ME.&quot;<br />Amen. Goes for you too of course ;)<br />As all you say 100% turkish state sponsored propaganda."
Comment67	Lol! Just as Pence announced it, the deal was Broken. There are still fighting in Syria.
Comment 67.1	@vikkabikka Russia can have it. Maybe they&#39;ll turn on the Turks in due-time and take back Constantinople, lol.
Comment 67.2	True. Why would he not?<br /> Its Russia interest first. Just like USA are spinning their wheel of Fortune, its just that Putin does not have to Rock the Boat very much. USA is Practivly giving Russia free launch in Middle-East lately..
Comment 67.3	@vikkabikka Vladimir Putin is &#39;always&#39; playing a Chess game in some form or other.
Comment 67.4	Putin has no power in this. He will not engage the Turks with his Airforce, unless Turkey Airforce do something first. It will most likely be a low influx of conflict, in which Russian troops sits back, and they give weapons and ammo to the Kurds. My 2 Cent
Comment 67.5	vikkabikka ...<br />Have no way of knowing. Putin hasn’t weighed in yet... have to wait and see.
Comment68	Mike Pence&#39;s attempt to characterize an abject surrender as a victory is almost as ludicrous as the belligerent letter Trump sent to Erdogan several days ago. The ineptitude of the Trump administration is simply jaw-dropping.
Comment69	Trump has capitulated to Turkey by agreeing to lift sanctions in exchange for a five-day delay in Turkey achieving its objective.
Comment70	nothing to do with pence russia has scared the turkey scum
Comment71	Action ,Drama
Comment72	İf the Usa dont want to people die, ypg have to remove traps and close army tunnels
Comment73	Turkey must never trust the United Snakes.
Comment 73.1	@Pittas Savvas there is nothing related to my history knowledge
Comment 73.2	🇹🇷yes💪
Comment 73.3	Turkey is a big snake in the world. Nobody likes them
Comment 73.4	@Chris P Bacon were you born an idiot?  Or did you become one after   visiting turkey?
Comment 73.5	@Adina Akcolova Go back to school and learn about some real history.
Comment74	America has more nukes in that area than in NATO! <br />American need few days to retrieve those nukes to their own place.<br />Erdogan released those nukes to avoid F-117 jet induced nuke attack on Turkey. 😂😂😂
Comment 74.1	F-117 is not in service. I didn&#39;t bother reading the rest.
Comment75	Syria belongs to syrians. Arabs, Kurds and other ethniticies side by side. Hope the region may find peace soon.
Comment76	Barbara Platt still alive, WHAT?????!!!!!!
Comment77	Yes pls. Let American soldiers escape from there  as their tails are in between legs for quite some time now. 🐕
Comment 77.1	Good then it was a good idea for us to leave, I&#39;m glad u agree. You are a good little lad
Comment 77.2	amerika askerleri girecek delik arıyordu sonu oldu
Comment78	You literally see fireworks going off celebrating the Syrian Arab Army coming back into it&#39;s territory to protect Syrian kurds.
Comment79	Fuck the mongolians durgs
Comment80	I hope YPG and Syrian government reach a Deal and combined forces of Syrian Military, YPG, Govt supported Militia and Russian Special forces move to the Purposed &#39;safezone&#39; by Turkey and push the Turkey out of Syrian border and protect the sovereignty from Evil Turkey and USA...
Comment81	Having a common enemy (ISIS) at some point in conflict does not automatically equate to Kurds being our allies. Technically during World War II, the US and Soviet Union were both fighting  nazzi Germany. Did that make us allies? Absolutely not. I’m  tired of hearing idiot libs casually referencing Kurds as allies. The Kurds have a selfish interest of their own which is to create their own country in the Middle East. That is their agenda plain and simple and Turkey is the number one enemy to that plan. This is an ongoing conflict that the US should not take part in.
