Youtube Corpus 73	https://www.youtube.com/watch?v=V9WXsc17XTM
Comment1	I wonder if Dutch realizes that his voice is causing vibrations in the house may have an actual magnitude assigned to it.
Comment2	Half-arsed USBS strikes again, right along wit their buddies @ YT😝<br />MOE- - LOW- <del>KAH</del> -EE fo all da<br />Ha- <del>OH</del> <del>Lees</del> - Newcomers, or<br />more disparagingly- - &quot;Foreigners&quot;<br />At any rate- - - Ah-Low-hah🎸🦎geckos of which we have many, both inside &amp; out- <del>palmetto bug</del><br />euphemism for cock-a-roaches- munchers which we love. Some those FLY aroun&#39; @night time and<br />can be sometimes 4&quot; long.BIG ONE.
Comment3	Thank you for putting these videos up for us...
Comment4	Dutch your stuff being blocked and your logic denied; plus down grading of quakes and not reporting of many quakes; shows what kind of people they are to the world; and they are in denial that their behavior is soon realized by those observing all of their performance.
Comment5	Building for the full moon
Comment6	What&#39;s up with the new channel. Tried to go to it and it&#39;s not available. Neither is the post announcing it. But it was on my notifications
Comment7	All these earthquakes in California are going to connect to the San Andreas Fault. To the untrained eye, you can tell that it doesn&#39;t look good at all.
Comment8	Did judge how do anything on the day of the nuclear explosion in Russia?
Comment9	On the YouTube <br />The quiet Youtube <br />The duchess sleeps tonight<br /><br />Dutch informs us<br />The earth is shaking<br />While the duchess sleeps tonight<br /><br />A yeem a whop<br />A yeem a whop <br />A yeem a whop
Comment10	Sounds like Mo lo Kye... its the island you have to be invited on by the indigenous people of Hawaii....i lived in Ohau...3 yrs...love the islands!!
Comment11	Keep on shining dude! Never give up...
Comment12	YOU KNOW HOW IT IS! WHEN YOU SHINE TO MUCH EVERYONE WANTS TO DIRTY YOU UP! lol
Comment13	I thought they only tried to hide alien info. Why the hell would they cover up earthquakes! OH LET ME GUESS! Freak people out and sales of product dies? Stock market crashing? Uhhhh jealousy between the geologists and the other earthquake forecasters? Pulls people away from the media and all the rhetoric about the President? why? You tell us? So crazy!
Comment14	You are the best! Always remember that...
Comment15	Why are they trying to shut you up? We need the truth...So find someone that will cover financially so you can have the freedom to tell the truth...!!! LIke Wikileaks or ANONYMOUS!!!...Find a way...Hook up!
Comment16	Thank you as always
Comment17	Dutch, what about the edge of the Craton as it passes through western Canada? there&#39;s no reports of eq&#39;s out of there! Is there any &quot;reasonable/logical&quot; answer?
Comment18	The list of States named for tampering with voting Washington Oregon and California 3 of the 10 named. All these States line Our Oceans. We&#39;re being bunched on to the Graton. Look at our Fire maps and the Navy map outlines. I don&#39;t know if that is good or bad?  A lot of water expected to jump our coastal lines. Stay away from the Oceans Move further Inland warnings posted World Wide. You need to figure out what is best for you.
Comment19	China knows our USGS is against what you say so they decided to hear you to bust the USGS
Comment20	The soft voice? Kind of nice. BUT it is so much easier without the rings for me at least to follow the EQ&#39;s along.
