Youtube Corpus 37	https://www.youtube.com/watch?v=7kHyng5o2-4
Comment1	Ready to mass replace and breed ethnic Brits out of existence in their own homeland?
Comment2	Anythings better than the evil, dangerous and idiotic Labour Party
Comment3	You leave Johnson he right to what to do
Comment4	too bad the decent people of britain aren&#39;t ready for extreme leftism
Comment5	I’m voting labour this country needs change and we can only fight fear with hope 🌹 JC4PM
Comment6	He will never win dangerous liar traitor
Comment7	"Voting for corbyn and Labour<br /><a href=""http://www.youtube.com/results?search_query=%23forthemanynotthefew"">#forthemanynotthefew</a>"
Comment8	Lost an election Master Corbyni has. How embarrassing, how embarrassing.
Comment9	COTBYN IS A C**T , HE WILL BRING THIS COUNTRY TO THE PITS. NEVER EVER VOTE LABOUR.
Comment10	Never elect a person named Boris <b>coughs in Russian</b>
Comment 10.1	Yes, that&#39;s what Sergei Skripal did in Salisbury
Comment 10.2	Can you cough in Russian?
Comment11	DELUDED bunch
Comment12	What a dick...
Comment13	Cares more about migrants than the working class...  what is he worth again...   dont come to my town , your not welcome
Comment14	And you will lose Corbyn.
Comment15	LABOUR LEADER ZINDABAD
Comment16	Corbyn can never make his mind up jeez
Comment17	Corbyn is a cancerous tumor of british politics. he will get criminal Johnson on power and make brexit happen by splitting the brexit vote
Comment18	No you didnt Corbyn, you got forced into this. Labour rejected a general election 3x. Corbyn wanted to sit happily on his wage and not face another failure at the election box.
Comment19	Jeremy Corbyn would like to send his deepest condolences and sympathies to the family of renouned Muslim scholar and freedom fighter Abu Bakr al-Baghdadi. Jeremy will lay wreath for him at the Cenotaph on Remembrance Sunday and for his dear fallen IRA comrades.
Comment20	"The Head of the BBC and ITV must step down.They have stolen a human life these disgusting people.Using Acoustic devices through illegal access to a railway <a href=""http://worker.no/"">worker.No</a> consent no right.Your television industry is dead dying unwatchable.<br />A switch of and <a href=""http://hated.you/"">hated.You</a> will face your victim in court.Send scripted rail passengers who know nothing of this human rights crime.Using family,the victim will never go near his brothers <a href=""http://again.how/"">again.How</a> is that funny you television Hated disgusting diseased Epstein minded jimmy Savile types in <a href=""http://television.you/"">television.You</a> make crap you brain damage for a <a href=""http://laugh.so/"">laugh.So</a> false so artificial So hated and worthless human exploitation by gaining illegal unwanted access to a railway employee."
