Youtube Corpus 94	https://www.youtube.com/watch?v=UExpj0R4YgA
Comment1	Dutch has disappeared as of last night , worried for him
Comment2	Already saw this 😫
Comment3	I am addicted to your web site.
Comment4	you called bali i remember that
Comment5	Greetings to all lurkers,and Dutch family.
Comment6	Dutch are you going to be here now?
Comment 6.1	People are asking on your channel..why I am asking. I don&#39;t want you to lose people!
Comment7	Love listening to you. Great humor.
Comment8	Thank you so much ❣️
Comment9	Global Incident Map shows a Mag 7 earthquake off west coast Africa in the Gulf of Guinea, at.....2019 km deep. Hoping that&#39;s a glitch. Took lots of pictures. What would be the depth to magnitude conversion? The antipode is the Marshall Islands.
Comment 9.1	@Jill AsbillYes I questioned it myself. It stayed on the feed for a couple hours. But never showed up on ESMC or others. That&#39;s why I took pictures on my screen and kept it.
Comment 9.2	2019 km?  Is that even possible?  Or did you mean 219 km?
Comment10	Stellular cores r making earthqakes
Comment11	No holes, they match and clean, you are good to go!
Comment12	Third time seeing the &quot;hot spots&quot;!
Comment13	Wow! Thank you, dutchsince for providing I information on suicide prevention. Great job, prophet!
Comment14	Thank you, Bella! Thank you, Rebecca!
Comment15	There&#39;s a video on WSO that within an hour the sun changed 5 times
Comment16	Hey Dutch! I&#39;ve heard deep rock shearing produces frequencies much like that associated with Wind Turbines. Pierpont documented symptoms reported by individuals exposed to wind turbines, which include sleep disturbance, headache, ear pressure, dizziness, vertigo, nausea, visual blurring, tachycardia, irritability, problems with concentration and memory, and panic episodes associated with sensations of internal vibrational frequencies. This &quot;Bad&quot; feeling from specific frequencies is nothing new.<br />Considering how the population of New Zealand was recently polorised by the activities of its government. Everyone there is on edge alot lately. I hardly think people want to end it all because there MIGHT BE an earthquake. Nice of you to give folks in that country thier own 1 800 number! Yet  Another issue the government of New Zealand fails to address properly.<br />Support The Maori Nation!<br />Support South and West Pacific Islanders!!
Comment 16.1	It seems the same dark forces are ruling your country as those ruling the US.   We need to pierce the veil and find out just who is at the top of the pyramid and taking control of everything and we need to bring them down
Comment17	Wow your video just stoped buffering now wont turn on tryed other videos they work errr pissed why is this happening i am half way throu your video
Comment 17.1	Yep! They are messing with him!
Comment18	Cooper, again thank you for all that you do dear lady.  Awesome Koi pond, moderating and sharing of Dutch’s reports and sharing your life.  Be safe dear lady and stay healthy.  Dutch.  Thank you for you r reporting, observation, forecasting.  ML for both of you and your families, followers, moderators.
Comment19	astounding! thank you Dutch!
Comment20	Thanks earthquake whisperer.
