Youtube Corpus 157	https://www.youtube.com/watch?v=HrxIvUTerXM
Comment1	Most of the Kurds weren&#39;t alive during WW2 to help with that conflict but they helped beat Isis.
Comment2	Fuck turks
Comment3	"<a href=""https://www.youtube.com/watch?v=HrxIvUTerXM&amp;t=1m52s"">1:52</a> cause they were in slavery dumbass"
Comment4	I pray for the freedom of Cyprus from turkey. <br />More power to Kurdish fighters.
Comment5	People always bring up the U.S. and other countries  countries and won&#39;t explain why they&#39;re doing it themselves! Haha. Smart move, Trump. Withdraw the troops and leave the mess to turkey and Russia, etc.
Comment6	we&#39;re fighting with terrorists you morons. we live together as turks and kurds in turkey.
Comment7	Kurdish fighters are the real heros! Turkey and Isis are brothers.
Comment8	Fake news    lieeee
Comment9	WHY YOU DONT MAKE BIG BIG NEWS ABOUR LONDON ?<br />LAST 9 MOUNTHS 114 KIDS BEEN STABB TO DEADTH ON THE STREET <br />YOU STUPID BBC <br />WHAT IS YOUR SOLUTION ABOUT THAT <br />OUR KIDS CANT GO OUT BROAD DAY LIGHT IN HERE LONDON
Comment10	TURKIE BOMBING YPG REBELLES NOT KURDS I AM KURD YOU SHEET HEADS
Comment 10.1	@SHKO SALAH not<br />Ypg Pkk includes mostly arab and Kurdish people even There are many chinese europen people in Pkk Ypg
Comment 10.2	You are crazy!<br />Ypg and   pkk are kurdish people
Comment 10.3	Adamsın kardeşim
Comment11	We are mercyfull nation we have to get rid of mercy and fuck all world in their asses they want this we are offering peace many centuries past they still wants blood and they will get fckn blood thats enough.
Comment12	Liars
Comment13	Why Israeli soldiers kill innocent people in Palestine
Comment14	Liar bbc news
Comment15	I think its time to raise justice for US  why not california mexico florida and all other states be given their right to form their own nation just as they did with the rest of the world and the world atands with those states🤣
Comment16	I want watch a fake news and ı open BBC
Comment 16.1	Shut up Turkish shit.
Comment17	"Let him bear the punishment he deserves<br /><a href=""https://youtu.be/w7QoTGbaFkI"">https://youtu.be/w7QoTGbaFkI</a><br /><br />Bu kişinin kanalının ırksal nefret söylemi var; özellikle Türklere karşı nefret söylemi, içerik hakarettir, vb."
Comment18	Hello guys my names BBC and  ı always make fake news.
Comment19	TURKEY&#39;S MISSION ISNT TO KILL KURDS. KURDS JUST HATE THEM AND ALSO THE TURKS ARE THERE TO STOP THE PKK YPG ISIS FROM GETTING TO THERE BORDER ITS JUST STUPID AMERICANS TELLING LIES AND SUPPORTING TERRORISTS IM JUST SICK OF AMERICANS TRYING TO MAKE TURKEY LOOK BAD AS POSSIBLE
Comment20	They got ripped off!
Comment21	"<a href=""https://youtu.be/2TgXXf1dX2s"">https://youtu.be/2TgXXf1dX2s</a> &lt;— this is the video that explains everything"
Comment22	All these butthurt Turks here 🤣🤣🤣
