source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,external_link
Kunal Kamra,,2020-02-08 13:56:50,*Senapati Modi** Chairman Modi *,35K,14K,21K,218,82,13,13,1027,1305895149603000,/story.php?story_fbid=1305895149603000&id=370949839764207,
Kunal Kamra,,2020-02-06 18:52:24,😂😂😂,36K,12K,23K,224,69,42,24,806,1304137923112056,/story.php?story_fbid=1304137923112056&id=370949839764207,
Kunal Kamra,,2020-02-06 11:42:21,😂😂😂 Who did this?,47K,14K,32K,457,73,34,20,1973,1303884229804092,/story.php?story_fbid=1303884229804092&id=370949839764207,
Kunal Kamra,,2020-02-05 11:05:39,😭😭😭,53K,19K,33K,621,177,136,46,1555,1302914833234365,/story.php?story_fbid=1302914833234365&id=370949839764207,
Kunal Kamra,,2020-02-04 12:09:33,"New episode of the podcast out now -   youtu.be/n-jKpN1FSCA Featuring Rajya Sabha MP Sanjay Singh & Deputy CM Manish Sisodia.  Dekho, acha laga toh family what’s app group pe daal dena, thoda debate hoga uska mazza lena...",4.9K,4.3K,74,462,20,,,165,1302150003310848,/story.php?story_fbid=1302150003310848&id=370949839764207,https%3A%2F%2Fyoutu.be%2Fn-jKpN1FSCA%3Ffbclid%3DIwAR1XY1ldfUGcRtxRFd69CpzgDBCU8rrxq18LjklSIPnYdc2eLPRorBgi0-4&h=AT1EPj-J4DX0D7oLnmcOBzD5yGOlkTJuslR7j90op0L3chM1RVfnEre2HAYOCsKYcz5jjm1eAKOgwUhoTBtc6rGSxwim7aPFRvy2yeQ3BVe2euhycaKjQhBNPVnlHLVc6CU6tBzlQ2WxY0VFKOzvE3CCIHkwpe_Wn5RR39h3Lj0KGyOcH-RGfI3Nhkb_cky013wmf2UPvPPAR34N2qB8NIl9MzphjaM9iX-YK1ctGUwJPNqZ2o-PIrxc-yVEM1081RPeIoBFqOtj70C0zmwWAL1XBOsIr_wFIMpd0doAU8TjuRVTlFmrI_aepomcumnRM4EhbGoCwpGW90KZon2cz-t7TXjpEfkUV7_1cN-PgDftyGlP936WyzYK2sI7sLU3QrGIMA6dghWj9EeOqyqHYF6amek8qyQOkmBqRtdJB7ntEao24bUEB56vX612Y0v1lBg-QDST9R8f72bUNTxA_nGwEQhTAXrZw5pDsu0ku7R2gAlaXlc60hHJZkaBbZVtmrsB55ofoFdio4nDeVtwmVAzjKyMBAB8YQCWYBlDjJXHiCkrCrZ7Wpt1xlq1cnPi4akLEPPu3ypznwqwU2HOLXmulPIMQjaIVcmPe-gdE8TjqYMLt-L81ugldGo4KRXjoTIzXI8pn3RgZYUGgh5uY-psehV2ZL4javTJLAJrdsrBXcLEGEz7b1XXVJEZ56bh2WqgxFODJybsNb3nOJE5C_VRc3pFVmA9YQe7qoawivuU6EeLctlWaVYzTx4NELaf51UM7mAnI7cuQYIyuRyqdF479qQ-yXDGphy0o54rTF3kcui6o8PwJ9l2USevNQJJoPYElDgT433YJjvAho0mnvKj1rRzn8y-4N9sqMm2lRNCJjz5kNuDys3rn-VLSwpvr9-JcomaSgavIiI6atFLohJPJpxVujEXw6PAzuxMn3noPLbLHELNubukllU58FmC0V6t6ggvL46cSlKUca0qipzsOh9SVFXGfqB6yqn2FpPtp5VSoj0jJSS0dbtaqBXwFPkPm5x84s-7-DSHflKbIRd_BdQpg6m-6lijgiIuak5Ifwz7hqXGy14WwOH_Pftu_vhrYQ
Kunal Kamra,,2020-02-03 16:31:26,✌️✌️✌️,62K,25K,35K,1.2K,94,25,14,1444,1301450736714108,/story.php?story_fbid=1301450736714108&id=370949839764207,
Kunal Kamra,,2020-02-03 10:11:05,😂😂😂,79K,21K,56K,415,186,234,71,4282,1301233173402531,/story.php?story_fbid=1301233173402531&id=370949839764207,
Kunal Kamra,,2020-02-02 16:40:30,😭😭😭,34K,15K,19K,493,47,26,13,840,1300504406808741,/story.php?story_fbid=1300504406808741&id=370949839764207,
Kunal Kamra,,2020-02-02 09:40:11,My airport look all thanks to air vistara following due process...,Jude Anthany Joseph and 91K others,64K,17K,9.1K,287,10,5,2301,1300260133499835,/story.php?story_fbid=1300260133499835&id=370949839764207,
Kunal Kamra,,2020-02-02 03:11:10,,1.3K,1.2K,8,105,9,1,1,63,2680184478880529,/events/2680184478880529?view=permalink&id=2680184485547195,
